provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;5;2;12;28005002_12_8;2022;1;30;140;T;49;T;32;T;24;T;29;T;24;T;26;T;34;T;47;T;47;T;45;T;45;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;14;28005002_14_6;2022;1;30;3;T;13;T;23;T;31;T;31;T;35;T;32;T;28;T;25;T;33;T;41;T;47;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;7;28058004_7_8;2022;1;30;19;T;6;T;5;T;3;T;2;T;2;T;4;T;11;T;13;T;15;T;21;T;25;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;8;28058004_8_8;2022;1;30;84;T;68;T;69;T;56;T;46;T;32;T;36;T;50;T;43;T;36;T;40;T;45;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;10;28058004_10_49;2022;1;30;24;T;16;T;17;T;17;T;11;T;11;T;5;T;11;T;12;T;8;T;8;T;21;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;12;28058004_12_8;2022;1;30;112;T;76;T;77;T;61;T;49;T;35;T;42;T;66;T;62;T;58;T;71;T;83;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;14;28058004_14_6;2022;1;30;4;T;9;T;6;T;14;T;22;T;32;T;31;T;20;T;27;T;37;T;38;T;39;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;20;28058004_20_59;2022;1;30;6;T;4.4;T;4.2;T;4.2;T;3.5;T;4.9;T;3.4;T;2.2;T;2.8;T;2.3;T;3.7;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;30;28058004_30_59;2022;1;30;1.1;T;0.7;T;0.9;T;0.5;T;0.3;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.2;T;0.5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;42;28058004_42_2;2022;1;30;1.4;T;1.4;T;1.4;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;44;28058004_44_2;2022;1;30;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;58;4;431;28058004_431_59;2022;1;30;3.4;T;2.1;T;1.8;T;1.8;T;1.3;T;1.8;T;1.3;T;0.8;T;0.9;T;0.8;T;1.2;T;2.2;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;6;4;7;28006004_7_8;2022;1;30;49;T;17;T;16;T;49;T;3;T;3;T;26;T;31;T;37;T;24;T;8;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;6;4;8;28006004_8_8;2022;1;30;73;T;59;T;58;T;66;T;46;T;42;T;52;T;54;T;48;T;37;T;21;T;23;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
