lon,lat,locality,year,month,kingdom,class,family,genus,species
8.0,56.0,"Limfjorden, Oddesund Nord",1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,56.0,"Limfjorden, Oddesund Nord",1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,56.0,"Limfjorden, Nykøbing harbour",1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,56.0,"Limfjorden, Nykøbing harbour",1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,56.0,"Limfjorden, W of Oddesund Nord",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
8.0,56.0,"Limfjorden, Nissum Bredning, Rønnen outside Lemvig",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
8.0,56.0,"Limfjorden, Nissum Bredning, N of Rønnen",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
8.0,56.0,"Limfjorden, Nissum Bredning, outside Mullerne",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
-70.94861,41.52916,Salters Point,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-70.86666,42.50416,Marblehead,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-70.98333,41.61666,Town of Dartmouth,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
,,Marblehead,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,"Fucus vesiculosus var. laterifructus Grev., 1828"
,,Marblehead,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,"Fucus vesiculosus var. laterifructus Grev., 1828"
,,San juan,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-70.848168,42.502876,in litoral zone,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-66.12202,43.837998,Yarmouth,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-66.12202,43.837998,Near Yarmouth,1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
