,DATE,AvgTemp
609,9/2/2015,48.0
610,9/3/2015,47.0
611,9/4/2015,47.0
612,9/5/2015,47.0
613,9/6/2015,48.0
614,9/7/2015,48.0
615,9/8/2015,50.0
616,9/9/2015,53.0
617,9/10/2015,49.0
618,9/11/2015,51.0
619,9/12/2015,49.0
620,9/13/2015,53.0
621,9/14/2015,52.0
622,9/15/2015,49.0
623,9/16/2015,47.0
624,9/17/2015,46.0
625,9/18/2015,46.0
626,9/19/2015,47.0
627,9/20/2015,50.0
628,9/21/2015,49.0
629,9/22/2015,47.0
630,9/23/2015,46.0
631,9/24/2015,47.0
632,9/25/2015,47.0
633,9/26/2015,48.0
634,9/27/2015,47.0
635,9/28/2015,46.0
636,9/29/2015,45.0
637,9/30/2015,50.0
638,10/1/2015,48.0
639,10/2/2015,48.0
640,10/3/2015,53.0
641,10/4/2015,51.0
642,10/5/2015,50.0
643,10/6/2015,47.0
644,10/7/2015,52.0
645,10/8/2015,51.0
646,10/9/2015,49.0
647,10/10/2015,49.0
648,10/11/2015,52.0
649,10/12/2015,49.0
650,10/13/2015,48.0
651,10/14/2015,48.0
652,10/15/2015,47.0
653,10/16/2015,51.0
654,10/17/2015,48.0
655,10/18/2015,49.0
656,10/19/2015,50.0
657,10/20/2015,49.0
658,10/21/2015,48.0
659,10/22/2015,48.0
660,10/23/2015,47.0
661,10/24/2015,50.0
662,10/25/2015,53.0
663,10/26/2015,54.0
664,10/27/2015,53.0
665,10/28/2015,51.0
666,10/29/2015,46.0
667,10/30/2015,48.0
668,10/31/2015,52.0
669,11/1/2015,49.0
670,11/2/2015,50.0
671,11/3/2015,50.0
672,11/4/2015,50.0
673,11/5/2015,50.0
674,11/6/2015,50.0
675,11/7/2015,51.0
676,11/8/2015,49.0
677,11/9/2015,45.0
678,11/10/2015,43.0
679,11/11/2015,45.0
680,11/12/2015,44.0
681,11/13/2015,43.0
682,11/14/2015,44.0
683,11/15/2015,44.0
684,11/16/2015,44.0
685,11/17/2015,47.0
686,11/18/2015,45.0
687,11/19/2015,50.0
688,11/20/2015,47.0
689,11/21/2015,47.0
690,11/22/2015,50.0
691,11/23/2015,49.0
692,11/24/2015,48.0
693,11/25/2015,47.0
694,11/26/2015,48.0
695,11/27/2015,50.0
696,11/28/2015,47.0
697,11/29/2015,49.0
698,11/30/2015,52.0
699,12/1/2015,52.0
700,12/2/2015,51.0
701,12/3/2015,50.0
702,12/4/2015,49.0
703,12/5/2015,49.0
704,12/6/2015,51.0
705,12/7/2015,54.0
706,12/8/2015,52.0
707,12/9/2015,49.0
708,12/10/2015,47.0
709,12/11/2015,48.0
710,12/12/2015,47.0
711,12/13/2015,44.0
712,12/14/2015,45.0
713,12/15/2015,41.0
714,12/16/2015,44.0
715,12/17/2015,46.0
716,12/18/2015,46.0
717,12/19/2015,40.0
718,12/20/2015,42.0
719,12/21/2015,41.0
720,12/22/2015,43.0
721,12/23/2015,40.0
722,12/24/2015,41.0
723,12/25/2015,42.0
724,12/26/2015,42.0
725,12/27/2015,43.0
726,12/28/2015,40.0
727,12/29/2015,40.0
728,12/30/2015,44.0
729,12/31/2015,48.0
730,1/1/2016,48.0
731,1/2/2016,45.0
732,1/3/2016,47.0
733,1/4/2016,45.0
734,1/5/2016,43.0
735,1/6/2016,46.0
736,1/7/2016,48.0
737,1/8/2016,46.0
738,1/9/2016,47.0
739,1/10/2016,46.0
740,1/11/2016,47.0
741,1/12/2016,47.0
742,1/13/2016,48.0
743,1/14/2016,50.0
744,1/15/2016,48.0
745,1/16/2016,46.0
746,1/17/2016,47.0
747,1/18/2016,48.0
748,1/19/2016,50.0
749,1/20/2016,50.0
750,1/21/2016,50.0
751,1/22/2016,50.0
752,1/23/2016,49.0
753,1/24/2016,47.0
754,1/25/2016,45.0
755,1/26/2016,49.0
756,1/27/2016,48.0
757,1/28/2016,53.0
758,1/29/2016,57.0
759,1/30/2016,54.0
760,1/31/2016,50.0
761,2/1/2016,45.0
762,2/2/2016,45.0
763,2/3/2016,47.0
764,2/4/2016,49.0
765,2/5/2016,48.0
766,2/6/2016,47.0
767,2/7/2016,40.0
